LocID,Period,Year,Trajectory,Mig
246,2058,2058,164,-0.01208
246,2059,2059,164,-0.01394
246,2060,2060,164,-0.01334
246,2061,2061,164,-0.0136
246,2062,2062,164,-0.01301
246,2063,2063,164,-0.01186
246,2064,2064,164,-0.01195
246,2065,2065,164,-0.01098
246,2066,2066,164,-0.01027
246,2067,2067,164,-0.00699
246,2068,2068,164,-0.00838
246,2069,2069,164,-0.00627
246,2070,2070,164,-0.01006
246,2071,2071,164,-0.00978
246,2072,2072,164,-0.01229
246,2073,2073,164,-0.0132
246,2074,2074,164,-0.01007
246,2075,2075,164,-0.00987
246,2076,2076,164,-0.00777
246,2077,2077,164,-0.00661
246,2078,2078,164,-0.00547
246,2079,2079,164,-0.00459
246,2080,2080,164,-0.00319
246,2081,2081,164,-0.00311
246,2082,2082,164,-0.00456
246,2083,2083,164,-0.00412
246,2084,2084,164,-0.00621
246,2085,2085,164,-0.00126
246,2086,2086,164,-0.00246
246,2087,2087,164,-0.00197
246,2088,2088,164,-0.00082
246,2089,2089,164,-0.00168
246,2090,2090,164,-0.00242
246,2091,2091,164,-0.00117
246,2092,2092,164,0.0023
246,2093,2093,164,0.00074
246,2094,2094,164,-0.00177
246,2095,2095,164,0.00196
246,2096,2096,164,-0.00062
246,2097,2097,164,0.00257
246,2098,2098,164,0.00133
246,2099,2099,164,-0.00014
246,2100,2100,164,0.00262
246,2023,2023,184,0.00685
246,2024,2024,184,0.00262
246,2025,2025,184,0.00257
246,2026,2026,184,0.00045
246,2027,2027,184,0.00236
246,2028,2028,184,0.00275
246,2029,2029,184,0.00227
246,2030,2030,184,0.00136
246,2031,2031,184,-0.00342
246,2032,2032,184,-0.00233
246,2033,2033,184,-0.00581
246,2034,2034,184,-0.00173
246,2035,2035,184,-0.00038
246,2036,2036,184,0.00146
246,2037,2037,184,0.00244
246,2038,2038,184,0.00263
246,2039,2039,184,0.00176
246,2040,2040,184,0.00019
246,2041,2041,184,-0.00151
246,2042,2042,184,-0.0032
246,2043,2043,184,-0.00256
